genre,artist_name,track_name,Rank_x,emotion_score_x,emotion_bucket,Rank,Game Title,Year,Genre,emotion_score_y
Rap,Blueface,"Dead Locs, Pt. 2",0.3404255319148936,0.57,56,0.3410283315844701,Vigilante 8,1998.0,Racing,0.58
Alternative,Jeremy Camp,Dead Man Walking,0.4574468085106383,0.44,44,0.4286463798530955,Pocket Monsters Stadium,1998.0,Strategy,0.43
Children’s Music,Bishop Briggs,Dead Man's Arms,0.4468085106382978,0.56,56,0.4464847848898216,Twisted Metal: Black,2001.0,Racing,0.58
Folk,Lord Huron,Dead Man's Hand,0.5,0.42,42,0.5026232948583421,Warcraft III: Reign of Chaos,2002.0,Strategy,0.43
Electronic,Flying Lotus,Dead Man's Tetris,0.5106382978723404,0.49,49,0.5125918153200419,Pokemon Pinball: Ruby & Sapphire,2003.0,Misc,0.5
Ska,"Lee ""Scratch"" Perry",Dead Meat Dub,0.7659574468085106,0.49,49,0.7707240293809025,Mario Party,1998.0,Misc,0.5
Soundtrack,Geoff Zanelli,Dead Men Tell No Tales,0.5851063829787234,0.77,77,0.5876180482686254,Golden Sun,2001.0,Role-Playing,0.77
Soundtrack,Craig Armstrong,Dead Myrtle,0.7659574468085106,0.85,85,0.7612801678908709,Harry Potter and the Chamber of Secrets,2002.0,Adventure,0.85
Hip-Hop,21 Savage,Dead People,0.351063829787234,0.51,51,0.3504721930745015,Tamagotchi Connection: Corner Shop,2005.0,Simulation,0.5
Comedy,Nick Di Paolo,Dead Pope,0.8936170212765957,0.49,49,0.895068205666317,Guitar Hero III: Legends of Rock,2007.0,Misc,0.5
Comedy,Lewis Black,Dead President,0.8297872340425532,0.58,57,0.8363064008394544,F-1 Race,1990.0,Racing,0.58
Hip-Hop,Rick Ross,Dead Presidents,0.4148936170212766,0.49,49,0.4186778593913956,SingStar Party,2004.0,Misc,0.5
Soundtrack,Clint Mansell,Dead Reckoning,0.6595744680851063,0.58,57,0.655299055613851,Midnight Club: Los Angeles,2008.0,Racing,0.58
Folk,The Lumineers,Dead Sea,0.3936170212765957,0.62,62,0.391395592864638,Lost Planet: Extreme Condition,2006.0,Shooter,0.63
Blues,Robert Johnson,Dead Shrimp Blues - SA.2628-2,0.6914893617021276,0.62,62,0.689401888772298,Syphon Filter 2,2000.0,Shooter,0.63
Children’s Music,Slayer,Dead Skin Mask,0.5,0.5,50,0.5,High School Musical 3: Senior Year,2008.0,Misc,0.5
Soundtrack,Jason Graves,Dead Space Theme,0.6276595744680851,0.81,81,0.6327387198321092,Mortal Kombat II,1993.0,Fighting,0.8
Ska,Strung Out,Dead Spaces,0.7872340425531915,0.28,28,0.7896117523609654,Yoshi's Story,1997.0,Platform,0.27
Classical,Philip Glass,Dead Things,0.6170212765957447,0.85,85,0.6169989506820567,Star Fox Adventures,2002.0,Adventure,0.85
