,Rank,Game Title,Year,Genre,energy,tempo,valence
325,0.8237145855194125,WWF SmackDown! 2: Know Your Role,2000.0,Fighting,0.8,0.8,0.8
326,0.823189926547744,Wii Music,2008.0,Misc,0.5,0.5,0.5
327,0.8226652675760756,Dragon Quest VI: Maboroshi no Daichi,1995.0,Role-Playing,0.7,0.8,0.8
328,0.8221406086044072,Enter the Matrix,2003.0,Action,1.0,1.0,0.75
329,0.8216159496327388,The Sims 2,2004.0,Simulation,0.6,0.5,0.4
330,0.8210912906610703,The Legend of Zelda: Spirit Tracks,2009.0,Adventure,0.85,0.9,0.8
331,0.8205666316894019,Ace Combat 04: Shattered Skies,2001.0,Simulation,0.6,0.5,0.4
332,0.8200419727177335,Animal Crossing,2001.0,Simulation,0.6,0.5,0.4
333,0.8195173137460651,Fallout 3,2008.0,Role-Playing,0.7,0.8,0.8
334,0.8189926547743966,FIFA Soccer 08,2007.0,Sports,0.9,0.8,0.4
335,0.8184679958027282,Borderlands,2009.0,Shooter,0.6,0.4,0.9
336,0.8179433368310598,Spider-Man,2000.0,Action,1.0,1.0,0.75
337,0.8174186778593914,Need for Speed III: Hot Pursuit,1998.0,Racing,0.75,0.6,0.4
338,0.816894018887723,Star Wars Episode I Racer,1999.0,Racing,0.75,0.6,0.4
339,0.8163693599160546,Dragon Warrior IV,1990.0,Role-Playing,0.7,0.8,0.8
340,0.8158447009443862,God of War: Chains of Olympus,2008.0,Action,1.0,1.0,0.75
341,0.8153200419727178,Dragon Ball Z: Budokai,2002.0,Fighting,0.8,0.8,0.8
342,0.8147953830010494,Personal Trainer: Cooking,2006.0,Misc,0.5,0.5,0.5
343,0.8142707240293809,Madden NFL 2002,2001.0,Sports,0.9,0.8,0.4
344,0.8132214060860441,Donkey Kong,1994.0,Platform,0.3,0.2,0.3
345,0.8126967471143757,The Sims: Vacation,2002.0,Simulation,0.6,0.5,0.4
346,0.8121720881427072,Crisis Core: Final Fantasy VII,2007.0,Role-Playing,0.7,0.8,0.8
347,0.8116474291710388,Professor Layton and the Unwound Future,2008.0,Adventure,0.85,0.9,0.8
348,0.8111227701993704,Diablo III,2012.0,Role-Playing,0.7,0.8,0.8
349,0.810598111227702,Sonic Rush,2005.0,Platform,0.3,0.2,0.3
350,0.8100734522560336,Rayman,1995.0,Platform,0.3,0.2,0.3
351,0.8095487932843651,The Sims 3,2009.0,Simulation,0.6,0.5,0.4
352,0.8090241343126968,Tom Clancy's Splinter Cell,2002.0,Action,1.0,1.0,0.75
353,0.8084994753410284,Rhythm Heaven,2008.0,Misc,0.5,0.5,0.5
354,0.80797481636936,The Legend of Zelda: Ocarina of Time,2011.0,Adventure,0.85,0.9,0.8
