Rank,Game Title,Year,Genre
505,Saints Row: The Third,2011.0,Action
506,Twisted Metal 2,1996.0,Racing
507,Killzone 3,2011.0,Shooter
508,Professor Layton and the Last Specter,2009.0,Adventure
509,The Sims: Bustin' Out,2003.0,Simulation
510,Mario Party 9,2012.0,Misc
511,Riven: The Sequel to Myst,1997.0,Adventure
512,L.A. Noire,2011.0,Adventure
513,Sonic Adventure,1998.0,Platform
514,Ice Hockey,1988.0,Sports
515,Ratchet & Clank Future: Tools of Destruction,2007.0,Platform
516,Pure,2008.0,Racing
517,Dragon Ball Z: Budokai 2,2003.0,Fighting
518,Dragon Age: Origins,2009.0,Role-Playing
519,ATV Offroad Fury,2001.0,Racing
520,Dino Crisis,1998.0,Action
521,Need for Speed: ProStreet,2007.0,Racing
522,Tetris Plus,1996.0,Puzzle
523,Pro Wrestling,1987.0,Fighting
524,Rock Band,,Misc
525,Frogger's Adventures: Temple of the Frog,,Adventure
526,Monopoly,1994.0,Misc
527,Guitar Hero,2005.0,Misc
528,WCW/nWo Revenge,1998.0,Fighting
529,Resident Evil 6,2012.0,Action
530,Yu-Gi-Oh! The Duelists of the Roses,2001.0,Misc
531,The Incredibles,2004.0,Action
532,Tony Hawk's Underground 2,2004.0,Sports
533,Half-Life 2,2004.0,Shooter
534,Kirby's Dream Land 2,1995.0,Platform
535,Tom Clancy's Rainbow Six: Vegas 2,2008.0,Shooter
536,Need for Speed Carbon: Own the City,2006.0,Racing
537,Resistance 2,2008.0,Shooter
538,Theme Hospital,1997.0,Strategy
539,uDraw Studio,2010.0,Misc
540,Donkey Kong Land 2,1996.0,Platform
541,Battlefield 3,2011.0,Shooter
542,pro evolution soccer 2011,2010.0,Sports
543,Madden NFL 08,2007.0,Sports
544,WWE SmackDown vs Raw 2008,2007.0,Fighting
545,Resident Evil - Code: Veronica X,2001.0,Action
546,Madden NFL 10,2009.0,Sports
547,Mario Tennis,2000.0,Sports
548,Grand Theft Auto,1997.0,Action
549,James Bond 007: Everything or Nothing,2004.0,Shooter
550,Borderlands 2,2012.0,Shooter
551,Need For Speed: High Stakes,1999.0,Racing
552,Chrono Trigger,1995.0,Role-Playing
553,Madden NFL 11,2010.0,Sports
554,Final Fantasy XIII-2,2011.0,Role-Playing
555,Heavy Rain,2010.0,Adventure
556,Halo Wars,2009.0,Strategy
557,Tomb Raider II,1997.0,Adventure
558,Need for Speed Underground 2,2004.0,Racing
559,My Fitness Coach,2008.0,Sports
560,Mario Bros.,1983.0,Platform
561,FIFA Soccer 09,2008.0,Sports
562,TOCA Championship Racing,1998.0,Racing
563,WarioWare Touched!,2004.0,Puzzle
564,Kirby: Nightmare in Dream Land,2002.0,Platform
565,Wario Land 4,2001.0,Platform
566,Onimusha 2: Samurai's Destiny,2002.0,Adventure
567,Paper Mario: The Thousand-Year Door,2004.0,Role-Playing
568,Pokémon Ranger: Shadows of Almia,2008.0,Role-Playing
569,Pro Evolution Soccer 2010,2009.0,Sports
570,NBA 2K13,2012.0,Action
571,Sonic Advance,2001.0,Platform
572,Spyro: Season of Ice,2001.0,Platform
573,Prince of Persia: The Sands of Time,2003.0,Adventure
574,LEGO Indiana Jones: The Original Adventures,,Adventure
575,The Legend of Zelda: Link's Awakening DX,1998.0,Adventure
576,LEGO Harry Potter: Years 1-4,2010.0,Adventure
577,Devil May Cry 3: Dante's Awakening Special Edition,2006.0,Action
578,Wario Land 3,2000.0,Platform
579,Star Wars: Knights of the Old Republic,2003.0,Role-Playing
580,Kirby's Pinball Land,1992.0,Misc
581,Donkey Kong Country,2000.0,Platform
582,Yu-Gi-Oh: Duel Monsters 4,2000.0,Role-Playing
583,Call of Duty 3,,Shooter
584,ATV Offroad Fury 2,2002.0,Racing
585,LittleBigPlanet,2009.0,Platform
586,Mario & Luigi: Superstar Saga,2003.0,Role-Playing
587,Super Monkey Ball: Banana Blitz,2006.0,Misc
588,Star Wars: Rogue Squadron,1998.0,Simulation
589,Tennis,1984.0,Sports
590,The Sims: House Party,2001.0,Simulation
